Price Date,States,Commodity,Modal Price (Rs./Quintal)
29 Oct 2019,Delhi,Apple,4940
26 Oct 2019,Delhi,Apple,3920
26 Oct 2019,Delhi,Apple,4204
26 Oct 2019,Delhi,Apple,4940
25 Oct 2019,Delhi,Apple,5500
25 Oct 2019,Delhi,Apple,4448
25 Oct 2019,Delhi,Apple,8750
24 Oct 2019,Delhi,Apple,4120
24 Oct 2019,Delhi,Apple,4448
24 Oct 2019,Delhi,Apple,5540
23 Oct 2019,Delhi,Apple,4120
23 Oct 2019,Delhi,Apple,4448
23 Oct 2019,Delhi,Apple,5540
22 Oct 2019,Delhi,Apple,4120
22 Oct 2019,Delhi,Apple,4448
22 Oct 2019,Delhi,Apple,5620
21 Oct 2019,Delhi,Apple,4120
21 Oct 2019,Delhi,Apple,4241
21 Oct 2019,Delhi,Apple,5080
19 Oct 2019,Delhi,Apple,4120
19 Oct 2019,Delhi,Apple,4241
19 Oct 2019,Delhi,Apple,5080
18 Oct 2019,Delhi,Apple,4120
18 Oct 2019,Delhi,Apple,4241
18 Oct 2019,Delhi,Apple,5040
17 Oct 2019,Delhi,Apple,4120
17 Oct 2019,Delhi,Apple,4241
17 Oct 2019,Delhi,Apple,5200
16 Oct 2019,Delhi,Apple,4120
16 Oct 2019,Delhi,Apple,4270
16 Oct 2019,Delhi,Apple,5180
15 Oct 2019,Delhi,Apple,4120
15 Oct 2019,Delhi,Apple,4270
15 Oct 2019,Delhi,Apple,5180
14 Oct 2019,Delhi,Apple,4120
14 Oct 2019,Delhi,Apple,4270
14 Oct 2019,Delhi,Apple,5180
12 Oct 2019,Delhi,Apple,4200
12 Oct 2019,Delhi,Apple,4241
12 Oct 2019,Delhi,Apple,5400
11 Oct 2019,Delhi,Apple,4000
11 Oct 2019,Delhi,Apple,4241
11 Oct 2019,Delhi,Apple,5280
10 Oct 2019,Delhi,Apple,4000
10 Oct 2019,Delhi,Apple,4313
10 Oct 2019,Delhi,Apple,5280
09 Oct 2019,Delhi,Apple,4000
09 Oct 2019,Delhi,Apple,4313
09 Oct 2019,Delhi,Apple,5100
08 Oct 2019,Delhi,Apple,4000
08 Oct 2019,Delhi,Apple,4313
08 Oct 2019,Delhi,Apple,5100
07 Oct 2019,Delhi,Apple,4000
07 Oct 2019,Delhi,Apple,4313
07 Oct 2019,Delhi,Apple,7450
05 Oct 2019,Delhi,Apple,4000
05 Oct 2019,Delhi,Apple,4455
04 Oct 2019,Delhi,Apple,4000
04 Oct 2019,Delhi,Apple,7050
03 Oct 2019,Delhi,Apple,4000
03 Oct 2019,Delhi,Apple,7450
01 Oct 2019,Delhi,Apple,3520
01 Oct 2019,Delhi,Apple,4541
01 Oct 2019,Delhi,Apple,5300
30 Sep 2019,Delhi,Apple,3542
30 Sep 2019,Delhi,Apple,3520
30 Sep 2019,Delhi,Apple,4586
30 Sep 2019,Delhi,Apple,3800
30 Sep 2019,Delhi,Apple,5500
28 Sep 2019,Delhi,Apple,3229
28 Sep 2019,Delhi,Apple,3320
28 Sep 2019,Delhi,Apple,4586
28 Sep 2019,Delhi,Apple,3800
28 Sep 2019,Delhi,Apple,5320
27 Sep 2019,Delhi,Apple,3229
27 Sep 2019,Delhi,Apple,3320
27 Sep 2019,Delhi,Apple,4586
27 Sep 2019,Delhi,Apple,3800
27 Sep 2019,Delhi,Apple,5320
26 Sep 2019,Delhi,Apple,3229
26 Sep 2019,Delhi,Apple,3320
26 Sep 2019,Delhi,Apple,4471
26 Sep 2019,Delhi,Apple,3600
26 Sep 2019,Delhi,Apple,5120
25 Sep 2019,Delhi,Apple,2917
25 Sep 2019,Delhi,Apple,3320
25 Sep 2019,Delhi,Apple,4170
25 Sep 2019,Delhi,Apple,3600
25 Sep 2019,Delhi,Apple,4960
24 Sep 2019,Delhi,Apple,2917
24 Sep 2019,Delhi,Apple,3320
24 Sep 2019,Delhi,Apple,4170
24 Sep 2019,Delhi,Apple,3600
24 Sep 2019,Delhi,Apple,4980
23 Sep 2019,Delhi,Apple,2917
23 Sep 2019,Delhi,Apple,2960
23 Sep 2019,Delhi,Apple,3995
23 Sep 2019,Delhi,Apple,3400
23 Sep 2019,Delhi,Apple,4680
21 Sep 2019,Delhi,Apple,2917
21 Sep 2019,Delhi,Apple,2960
21 Sep 2019,Delhi,Apple,3995
21 Sep 2019,Delhi,Apple,3400
21 Sep 2019,Delhi,Apple,4680
20 Sep 2019,Delhi,Apple,2917
20 Sep 2019,Delhi,Apple,2400
20 Sep 2019,Delhi,Apple,1768
20 Sep 2019,Delhi,Apple,4084
20 Sep 2019,Delhi,Apple,3400
20 Sep 2019,Delhi,Apple,4680
19 Sep 2019,Delhi,Apple,2917
19 Sep 2019,Delhi,Apple,2400
19 Sep 2019,Delhi,Apple,1768
19 Sep 2019,Delhi,Apple,4084
19 Sep 2019,Delhi,Apple,3400
19 Sep 2019,Delhi,Apple,4680
18 Sep 2019,Delhi,Apple,2917
18 Sep 2019,Delhi,Apple,2400
18 Sep 2019,Delhi,Apple,1768
18 Sep 2019,Delhi,Apple,4084
18 Sep 2019,Delhi,Apple,3400
18 Sep 2019,Delhi,Apple,4680
17 Sep 2019,Delhi,Apple,2917
17 Sep 2019,Delhi,Apple,2500
17 Sep 2019,Delhi,Apple,1768
17 Sep 2019,Delhi,Apple,4084
17 Sep 2019,Delhi,Apple,3400
17 Sep 2019,Delhi,Apple,4880
16 Sep 2019,Delhi,Apple,2917
16 Sep 2019,Delhi,Apple,2580
16 Sep 2019,Delhi,Apple,1768
16 Sep 2019,Delhi,Apple,4084
16 Sep 2019,Delhi,Apple,3400
16 Sep 2019,Delhi,Apple,4520
14 Sep 2019,Delhi,Apple,2917
14 Sep 2019,Delhi,Apple,2640
14 Sep 2019,Delhi,Apple,1768
14 Sep 2019,Delhi,Apple,4084
14 Sep 2019,Delhi,Apple,3400
14 Sep 2019,Delhi,Apple,4560
13 Sep 2019,Delhi,Apple,2917
13 Sep 2019,Delhi,Apple,2640
13 Sep 2019,Delhi,Apple,1429
13 Sep 2019,Delhi,Apple,4084
13 Sep 2019,Delhi,Apple,3400
